time,step,quantity,kprl,value
0.0,0,u_perp,0.0,0.005028034838963469
0.0,0,u_perp,1.0,0.024187760559194152
0.0,0,u_perp,2.0,0.010509162418562536
0.0,0,u_perp,3.0,0.0
0.0,0,u_perp,4.0,0.0
0.0,0,u_perp,5.0,0.0
0.0,0,u_perp,6.0,0.0
0.0,0,u_perp,7.000000000000001,0.0
0.0,0,u_perp,8.0,0.0
0.0,0,u_perp,9.0,0.0
0.0,0,u_perp,10.0,0.0
0.0,0,u_perp,11.0,0.0
0.0,0,u_perp,12.0,0.0
0.0,0,u_perp,12.999999999999998,0.0
0.0,0,u_perp,14.000000000000002,0.0
0.0,0,u_perp,15.0,0.0
0.0,0,u_perp,16.0,0.0
0.0,0,u_perp,17.0,0.0
0.0,0,u_perp,18.0,0.0
0.0,0,u_perp,19.0,0.0
0.0,0,u_perp,20.0,0.0
0.0,0,u_perp,21.0,0.0
0.0,0,u_perp,22.0,0.0
0.0,0,u_perp,23.0,0.0
0.0,0,u_perp,24.0,0.0
0.0,0,u_perp,25.0,0.0
0.0,0,u_perp,25.999999999999996,0.0
0.0,0,u_perp,27.000000000000004,0.0
0.0,0,u_perp,28.000000000000004,0.0
0.0,0,u_perp,29.000000000000004,0.0
0.0,0,u_perp,30.0,0.0
0.0,0,u_perp,31.0,0.0
0.0,0,u_perp,32.0,0.0
0.0,0,u_perp,33.0,0.0
0.0,0,u_perp,34.0,0.0
0.0,0,u_perp,35.0,0.0
0.0,0,u_perp,36.0,0.0
0.0,0,u_perp,37.0,0.0
0.0,0,u_perp,38.0,0.0
0.0,0,u_perp,39.0,0.0
0.0,0,u_perp,40.0,0.0
0.0,0,u_perp,41.0,0.0
0.0,0,u_perp,42.0,0.0
0.0,0,u_perp,43.0,0.0
0.0,0,u_perp,44.0,0.0
0.0,0,u_perp,45.0,0.0
0.0,0,u_perp,46.0,0.0
0.0,0,u_perp,47.0,0.0
0.0,0,u_perp,48.0,0.0
0.0,0,u_perp,49.0,0.0
0.0,0,u_perp,50.0,0.0
0.0,0,u_perp,51.0,0.0
0.0,0,u_perp,51.99999999999999,0.0
0.0,0,u_perp,52.99999999999999,0.0
0.0,0,u_perp,54.00000000000001,0.0
0.0,0,u_perp,55.00000000000001,0.0
0.0,0,u_perp,56.00000000000001,0.0
0.0,0,u_perp,57.00000000000001,0.0
0.0,0,u_perp,58.00000000000001,0.0
0.0,0,u_perp,59.00000000000001,0.0
0.0,0,u_perp,60.0,0.0
0.0,0,u_perp,61.0,0.0
0.0,0,u_perp,62.0,0.0
0.0,0,u_perp,63.0,0.0
0.0,0,u_perp,64.0,0.0
0.0,0,b_perp,0.0,0.1142722647923671
0.0,0,b_perp,1.0,0.16658736321922202
0.0,0,b_perp,2.0,0.09239270675300107
0.0,0,b_perp,3.0,0.0
0.0,0,b_perp,4.0,0.0
0.0,0,b_perp,5.0,0.0
0.0,0,b_perp,6.0,0.0
0.0,0,b_perp,7.000000000000001,0.0
0.0,0,b_perp,8.0,0.0
0.0,0,b_perp,9.0,0.0
0.0,0,b_perp,10.0,0.0
0.0,0,b_perp,11.0,0.0
0.0,0,b_perp,12.0,0.0
0.0,0,b_perp,12.999999999999998,0.0
0.0,0,b_perp,14.000000000000002,0.0
0.0,0,b_perp,15.0,0.0
0.0,0,b_perp,16.0,0.0
0.0,0,b_perp,17.0,0.0
0.0,0,b_perp,18.0,0.0
0.0,0,b_perp,19.0,0.0
0.0,0,b_perp,20.0,0.0
0.0,0,b_perp,21.0,0.0
0.0,0,b_perp,22.0,0.0
0.0,0,b_perp,23.0,0.0
0.0,0,b_perp,24.0,0.0
0.0,0,b_perp,25.0,0.0
0.0,0,b_perp,25.999999999999996,0.0
0.0,0,b_perp,27.000000000000004,0.0
0.0,0,b_perp,28.000000000000004,0.0
0.0,0,b_perp,29.000000000000004,0.0
0.0,0,b_perp,30.0,0.0
0.0,0,b_perp,31.0,0.0
0.0,0,b_perp,32.0,0.0
0.0,0,b_perp,33.0,0.0
0.0,0,b_perp,34.0,0.0
0.0,0,b_perp,35.0,0.0
0.0,0,b_perp,36.0,0.0
0.0,0,b_perp,37.0,0.0
0.0,0,b_perp,38.0,0.0
0.0,0,b_perp,39.0,0.0
0.0,0,b_perp,40.0,0.0
0.0,0,b_perp,41.0,0.0
0.0,0,b_perp,42.0,0.0
0.0,0,b_perp,43.0,0.0
0.0,0,b_perp,44.0,0.0
0.0,0,b_perp,45.0,0.0
0.0,0,b_perp,46.0,0.0
0.0,0,b_perp,47.0,0.0
0.0,0,b_perp,48.0,0.0
0.0,0,b_perp,49.0,0.0
0.0,0,b_perp,50.0,0.0
0.0,0,b_perp,51.0,0.0
0.0,0,b_perp,51.99999999999999,0.0
0.0,0,b_perp,52.99999999999999,0.0
0.0,0,b_perp,54.00000000000001,0.0
0.0,0,b_perp,55.00000000000001,0.0
0.0,0,b_perp,56.00000000000001,0.0
0.0,0,b_perp,57.00000000000001,0.0
0.0,0,b_perp,58.00000000000001,0.0
0.0,0,b_perp,59.00000000000001,0.0
0.0,0,b_perp,60.0,0.0
0.0,0,b_perp,61.0,0.0
0.0,0,b_perp,62.0,0.0
0.0,0,b_perp,63.0,0.0
0.0,0,b_perp,64.0,0.0
0.0,0,upar,0.0,0.021477479773016162
0.0,0,upar,1.0,0.04433378295050936
0.0,0,upar,2.0,0.04529095843605317
0.0,0,upar,3.0,0.0012386813133179436
0.0,0,upar,4.0,0.0
0.0,0,upar,5.0,0.0
0.0,0,upar,6.0,0.0
0.0,0,upar,7.000000000000001,0.0
0.0,0,upar,8.0,0.0
0.0,0,upar,9.0,0.0
0.0,0,upar,10.0,0.0
0.0,0,upar,11.0,0.0
