time,step,quantity,kperp,value
0.0,0,b_perp,74.5,0.0
0.0,0,b_perp,75.5,0.0
0.0,0,b_perp,76.5,0.0
0.0,0,b_perp,77.5,0.0
0.0,0,b_perp,78.5,0.0
0.0,0,b_perp,79.5,0.0
0.0,0,b_perp,80.5,0.0
0.0,0,b_perp,81.5,0.0
0.0,0,b_perp,82.5,0.0
0.0,0,b_perp,83.5,0.0
0.0,0,b_perp,84.5,0.0
0.0,0,b_perp,85.5,0.0
0.0,0,b_perp,86.5,0.0
0.0,0,b_perp,87.5,0.0
0.0,0,b_perp,88.5,0.0
0.0,0,b_perp,89.5,0.0
0.0,0,b_perp,90.5,0.0
0.0,0,b_perp,91.5,0.0
0.0,0,upar,0.5,0.0044303096331031735
0.0,0,upar,1.5,0.054597472887916616
0.0,0,upar,2.5,0.051831127978081135
0.0,0,upar,3.5,0.0014819919737956901
0.0,0,upar,4.5,0.0
0.0,0,upar,5.5,0.0
0.0,0,upar,6.5,0.0
0.0,0,upar,7.5,0.0
0.0,0,upar,8.5,0.0
0.0,0,upar,9.5,0.0
0.0,0,upar,10.5,0.0
0.0,0,upar,11.5,0.0
0.0,0,upar,12.5,0.0
0.0,0,upar,13.5,0.0
0.0,0,upar,14.5,0.0
0.0,0,upar,15.5,0.0
0.0,0,upar,16.5,0.0
0.0,0,upar,17.5,0.0
0.0,0,upar,18.5,0.0
0.0,0,upar,19.5,0.0
0.0,0,upar,20.5,0.0
0.0,0,upar,21.5,0.0
0.0,0,upar,22.5,0.0
0.0,0,upar,23.5,0.0
0.0,0,upar,24.5,0.0
0.0,0,upar,25.5,0.0
0.0,0,upar,26.5,0.0
0.0,0,upar,27.5,0.0
0.0,0,upar,28.5,0.0
0.0,0,upar,29.5,0.0
0.0,0,upar,30.5,0.0
0.0,0,upar,31.5,0.0
0.0,0,upar,32.5,0.0
0.0,0,upar,33.5,0.0
0.0,0,upar,34.5,0.0
0.0,0,upar,35.5,0.0
0.0,0,upar,36.5,0.0
0.0,0,upar,37.5,0.0
0.0,0,upar,38.5,0.0
0.0,0,upar,39.5,0.0
0.0,0,upar,40.5,0.0
0.0,0,upar,41.5,0.0
0.0,0,upar,42.5,0.0
0.0,0,upar,43.5,0.0
0.0,0,upar,44.5,0.0
0.0,0,upar,45.5,0.0
0.0,0,upar,46.5,0.0
0.0,0,upar,47.5,0.0
0.0,0,upar,48.5,0.0
0.0,0,upar,49.5,0.0
0.0,0,upar,50.5,0.0
0.0,0,upar,51.5,0.0
0.0,0,upar,52.5,0.0
0.0,0,upar,53.5,0.0
0.0,0,upar,54.5,0.0
0.0,0,upar,55.5,0.0
0.0,0,upar,56.5,0.0
0.0,0,upar,57.5,0.0
0.0,0,upar,58.5,0.0
0.0,0,upar,59.5,0.0
0.0,0,upar,60.5,0.0
0.0,0,upar,61.5,0.0
0.0,0,upar,62.5,0.0
0.0,0,upar,63.5,0.0
0.0,0,upar,64.5,0.0
0.0,0,upar,65.5,0.0
0.0,0,upar,66.5,0.0
0.0,0,upar,67.5,0.0
0.0,0,upar,68.5,0.0
0.0,0,upar,69.5,0.0
0.0,0,upar,70.5,0.0
0.0,0,upar,71.5,0.0
0.0,0,upar,72.5,0.0
0.0,0,upar,73.5,0.0
0.0,0,upar,74.5,0.0
0.0,0,upar,75.5,0.0
0.0,0,upar,76.5,0.0
0.0,0,upar,77.5,0.0
0.0,0,upar,78.5,0.0
0.0,0,upar,79.5,0.0
0.0,0,upar,80.5,0.0
0.0,0,upar,81.5,0.0
0.0,0,upar,82.5,0.0
0.0,0,upar,83.5,0.0
0.0,0,upar,84.5,0.0
0.0,0,upar,85.5,0.0
0.0,0,upar,86.5,0.0
0.0,0,upar,87.5,0.0
0.0,0,upar,88.5,0.0
0.0,0,upar,89.5,0.0
0.0,0,upar,90.5,0.0
0.0,0,upar,91.5,0.0
0.0,0,dbpar,0.5,0.00487060706749687
0.0,0,dbpar,1.5,0.08280830864439791
0.0,0,dbpar,2.5,0.12642427810284979
0.0,0,dbpar,3.5,0.010578611131048675
0.0,0,dbpar,4.5,0.0
0.0,0,dbpar,5.5,0.0
0.0,0,dbpar,6.5,0.0
0.0,0,dbpar,7.5,0.0
0.0,0,dbpar,8.5,0.0
0.0,0,dbpar,9.5,0.0
0.0,0,dbpar,10.5,0.0
0.0,0,dbpar,11.5,0.0
0.0,0,dbpar,12.5,0.0
0.0,0,dbpar,13.5,0.0
0.0,0,dbpar,14.5,0.0
0.0,0,dbpar,15.5,0.0
0.0,0,dbpar,16.5,0.0
0.0,0,dbpar,17.5,0.0
0.0,0,dbpar,18.5,0.0
0.0,0,dbpar,19.5,0.0
0.0,0,dbpar,20.5,0.0
0.0,0,dbpar,21.5,0.0
0.0,0,dbpar,22.5,0.0
0.0,0,dbpar,23.5,0.0
0.0,0,dbpar,24.5,0.0
0.0,0,dbpar,25.5,0.0
0.0,0,dbpar,26.5,0.0
0.0,0,dbpar,27.5,0.0
0.0,0,dbpar,28.5,0.0
0.0,0,dbpar,29.5,0.0
0.0,0,dbpar,30.5,0.0
0.0,0,dbpar,31.5,0.0
0.0,0,dbpar,32.5,0.0
0.0,0,dbpar,33.5,0.0
0.0,0,dbpar,34.5,0.0
0.0,0,dbpar,35.5,0.0
