time,step,quantity,kprl,value
0.0,0,z_plus,12.0,0.0
0.0,0,z_plus,12.999999999999998,0.0
0.0,0,z_plus,14.000000000000002,0.0
0.0,0,z_plus,15.0,0.0
0.0,0,z_plus,16.0,0.0
0.0,0,z_plus,17.0,0.0
0.0,0,z_plus,18.0,0.0
0.0,0,z_plus,19.0,0.0
0.0,0,z_plus,20.0,0.0
0.0,0,z_plus,21.0,0.0
0.0,0,z_plus,22.0,0.0
0.0,0,z_plus,23.0,0.0
0.0,0,z_plus,24.0,0.0
0.0,0,z_plus,25.0,0.0
0.0,0,z_plus,25.999999999999996,0.0
0.0,0,z_plus,27.000000000000004,0.0
0.0,0,z_plus,28.000000000000004,0.0
0.0,0,z_plus,29.000000000000004,0.0
0.0,0,z_plus,30.0,0.0
0.0,0,z_plus,31.0,0.0
0.0,0,z_plus,32.0,0.0
0.0,0,z_minus,0.0,0.0
0.0,0,z_minus,1.0,0.0
0.0,0,z_minus,2.0,0.0
0.0,0,z_minus,3.0,0.0
0.0,0,z_minus,4.0,0.0
0.0,0,z_minus,5.0,0.0
0.0,0,z_minus,6.0,0.0
0.0,0,z_minus,7.000000000000001,0.0
0.0,0,z_minus,8.0,0.0
0.0,0,z_minus,9.0,0.0
0.0,0,z_minus,10.0,0.0
0.0,0,z_minus,11.0,0.0
0.0,0,z_minus,12.0,0.0
0.0,0,z_minus,12.999999999999998,0.0
0.0,0,z_minus,14.000000000000002,0.0
0.0,0,z_minus,15.0,0.0
0.0,0,z_minus,16.0,0.0
0.0,0,z_minus,17.0,0.0
0.0,0,z_minus,18.0,0.0
0.0,0,z_minus,19.0,0.0
0.0,0,z_minus,20.0,0.0
0.0,0,z_minus,21.0,0.0
0.0,0,z_minus,22.0,0.0
0.0,0,z_minus,23.0,0.0
0.0,0,z_minus,24.0,0.0
0.0,0,z_minus,25.0,0.0
0.0,0,z_minus,25.999999999999996,0.0
0.0,0,z_minus,27.000000000000004,0.0
0.0,0,z_minus,28.000000000000004,0.0
0.0,0,z_minus,29.000000000000004,0.0
0.0,0,z_minus,30.0,0.0
0.0,0,z_minus,31.0,0.0
0.0,0,z_minus,32.0,0.0
1.0050000000000008,67,u_perp,0.0,0.058567257539472714
1.0050000000000008,67,u_perp,1.0,0.05722170372276804
1.0050000000000008,67,u_perp,2.0,0.03548295314068915
1.0050000000000008,67,u_perp,3.0,0.0016094203248506306
1.0050000000000008,67,u_perp,4.0,0.00035595437583960267
1.0050000000000008,67,u_perp,5.0,5.1553305968559834e-05
1.0050000000000008,67,u_perp,6.0,1.1273938388289601e-05
1.0050000000000008,67,u_perp,7.000000000000001,1.883957064320189e-06
1.0050000000000008,67,u_perp,8.0,4.516148243752901e-07
1.0050000000000008,67,u_perp,9.0,9.887129118434965e-08
1.0050000000000008,67,u_perp,10.0,2.4890298239355105e-08
